ind,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-0.71052,-0.99301,-0.97284,0.36742,-1.0991,-1.1499,-1.0048,-0.97487,-0.96432,-0.58552,-0.25806,-1.0707,-1.042,-1.0945,-0.83894,-0.96551,-0.40498,-0.92025,-0.88822,-1.0434,-0.35731,-1.1149,-1.1455,-0.41137,-0.98674,-1.0644,-0.4688,-1.0668,-0.4595,-1.119,-0.052621,-1.2386,-1.0379,-1.1592
1,-1.1833,-1.4268,-1.3905,-0.27781,-1.3756,-1.5492,-1.3816,-1.2824,-1.4333,-0.81972,-0.73144,-1.314,-1.3488,-1.3614,-1.1511,-1.345,-1.0099,-1.3825,-1.3608,-1.3483,-0.85205,-1.3384,-1.3888,-0.67348,-1.3844,-1.3238,-0.89854,-1.3888,-0.9311,-1.4021,-0.5752,-1.3335,-1.3017,-1.3014
2,-1.3724,-1.5799,-1.5367,-0.76173,-1.523,-1.4893,-1.5575,-1.549,-1.5271,-1.1878,-1.1259,-1.4824,-1.5214,-1.6061,-1.4633,-1.5584,-1.3326,-1.5366,-1.5847,-1.5008,-1.3056,-1.5213,-1.6077,-1.1103,-1.5037,-1.5615,-1.3673,-1.5498,-1.439,-1.5437,-1.0978,-1.5045,-1.4695,-1.5249
3,-1.5931,-1.6054,-1.6202,-0.86927,-1.5599,-1.5692,-1.6077,-1.6105,-1.6209,-1.4554,-1.3626,-1.5573,-1.6173,-1.6505,-1.5881,-1.6533,-1.4535,-1.6136,-1.6096,-1.577,-1.4705,-1.6025,-1.6321,-1.2414,-1.5833,-1.6047,-1.4455,-1.6418,-1.5115,-1.6043,-1.3591,-1.5615,-1.5894,-1.5656
4,-1.467,-1.6309,-1.6202,-1.1381,-1.5968,-1.5692,-1.6579,-1.631,-1.6678,-1.79,-1.481,-1.5573,-1.6365,-1.6505,-1.713,-1.6296,-1.4939,-1.6393,-1.5847,-1.6342,-1.5117,-1.6025,-1.5834,-1.4161,-1.623,-1.5831,-1.4845,-1.6188,-1.6204,-1.5437,-1.4462,-1.5425,-1.6133,-1.6062
5,-1.3724,-1.3758,-1.4532,-1.0843,-1.4309,-1.4494,-1.4319,-1.4875,-1.4333,-1.3885,-1.4415,-1.4824,-1.2146,-1.4726,-1.4321,-1.4636,-1.2922,-1.4339,-1.4603,-1.4627,-1.4705,-1.501,-1.3401,-1.3288,-1.3446,-1.4318,-1.2501,-1.4348,-1.4027,-1.3819,-1.4026,-1.4855,-1.5174,-1.4436
6,-1.0888,-1.0185,-0.99372,-1.1381,-1.1359,-1.09,-1.0802,-1.0159,-0.96432,-1.0539,-1.0865,-1.052,-1.0995,-1.1167,-1.0262,-1.0604,-0.8486,-0.99729,-0.98772,-1.0815,-1.017,-1.0337,-0.9022,-0.84823,-0.98674,-0.91312,-0.74227,-0.97474,-0.89482,-1.0583,-0.96713,-1.0106,-1.0619,-1.0779
7,0.045967,-0.3551,0.050469,-0.60042,-0.23272,0.088196,0.22608,-0.13414,-0.23742,-0.41823,-0.77088,-0.17234,-0.2557,0.26227,-0.43313,0.078071,-0.52597,-0.3039,-0.5151,-0.2811,-0.72836,-0.078731,-0.48861,-0.58611,-0.091963,-0.07024,-0.50787,-0.35367,0.012092,-0.20897,-0.61875,-0.13692,-0.0069928,0.019474
8,0.92853,0.71658,0.63522,-1.0843,0.65207,0.34779,0.92946,0.68608,0.65363,-0.45168,-0.81033,0.46399,0.77988,0.84056,0.22242,0.62358,0.80491,0.67199,0.50474,0.8433,-0.43977,0.49016,0.53321,-0.80454,0.92211,0.64297,0.50787,0.63545,0.48369,0.45838,-0.83649,0.60385,1.2157,0.73071
9,1.0861,1.2014,1.032,-0.27781,0.947,1.0667,1.1807,1.0347,1.146,0.1171,0.01808,0.9693,1.1442,1.1297,0.44093,1.264,1.4099,1.1343,1.1017,0.97671,0.013743,0.73397,1.1658,0.069169,1.121,0.90232,1.4455,1.2335,1.318,0.96394,-0.13972,1.0027,1.1438,1.1778
10,1.2753,1.1248,0.80229,0.36742,1.0023,1.1066,1.1053,1.0142,1.146,0.5186,0.33367,0.93187,1.1634,1.1075,0.97161,1.1928,1.4099,1.2113,1.1763,0.97671,0.67339,0.69334,1.0928,0.68077,1.121,0.90232,1.4845,1.0495,1.3543,1.0044,0.55705,1.0027,1.1198,1.1778
11,0.96005,1.0483,0.82317,0.47496,0.91013,1.0467,0.87922,0.89113,1.0054,0.65243,0.64925,0.91316,0.97165,1.0185,1.034,0.95562,1.2082,1.2113,1.0271,0.86236,0.75585,0.93715,0.97113,0.76814,1.0016,0.85909,1.2111,0.79647,1.1004,0.6606,0.6006,0.90776,1.0959,1.0965
12,0.61333,0.79313,0.6561,0.52873,0.79953,0.64732,0.72849,0.52204,0.77087,0.55206,0.6887,0.68857,0.85659,0.77384,0.81553,0.7896,0.76458,0.77472,0.67886,0.7099,0.75585,0.97778,0.70351,0.63708,0.80281,0.66458,0.8204,0.58945,0.51996,0.72127,0.55705,0.7558,0.97599,1.0355
13,0.014447,0.46142,0.38461,0.098577,0.43087,0.50754,0.52753,0.44001,0.37225,0.21748,-0.10026,0.63243,0.49222,0.37348,0.44093,0.36268,0.11931,0.36382,0.33062,0.38592,0.17866,0.55111,0.46022,0.069169,0.3256,0.36201,0.19533,0.38242,0.19348,0.55949,0.12157,0.52788,0.35264,0.79168
14,-0.64748,0.48694,0.32196,-0.27781,0.5599,0.60738,0.55265,0.399,0.37225,-0.1171,-0.21861,0.4827,0.45386,0.37348,0.097551,0.41012,-0.32432,0.3895,0.45499,0.53838,-0.39854,0.55111,0.38724,-0.36769,0.34548,0.36201,-0.31253,0.47443,-0.3144,0.59994,-0.35746,0.50888,0.42456,0.71039
15,-0.26923,0.56348,0.48903,-0.38535,0.63363,0.62735,0.65313,0.41951,0.55984,-0.48514,-0.29751,0.52013,0.53057,0.5959,0.097551,0.33896,-0.24366,0.33814,0.45499,0.51932,-0.27485,0.73397,0.58187,-0.49874,0.38525,0.51329,-0.31253,0.54344,-0.20557,0.88305,-0.31391,0.64184,0.44854,0.48686
16,-0.20619,0.61452,0.61433,-0.60042,0.8364,0.68726,0.57777,0.54254,0.53639,0.016729,-0.25806,0.65114,0.70317,0.55142,0.12877,0.50499,-0.163,0.46654,0.57936,0.74802,-0.027485,0.81524,0.55754,-0.36769,0.52444,0.59974,-0.42973,0.54344,-0.3144,0.80216,-0.53165,0.71782,0.44854,0.44622
17,0.61333,0.30832,1.3035,-0.54665,0.7811,0.7272,0.27632,1.3012,0.39569,1.1543,0.88594,1.2875,0.68399,0.35124,1.034,0.33896,-0.44531,0.3895,0.43012,1.0148,1.0857,1.0997,0.38724,-0.018202,0.74316,0.64297,-0.42973,0.35942,-0.24184,1.0651,-0.052621,1.0977,0.30469,0.48686
18,1.3698,0.25729,1.2409,-0.49289,1.2051,1.0667,0.22608,1.2192,0.46604,1.422,1.5171,1.0816,1.1059,0.50693,1.3774,0.52871,-0.163,0.3895,0.45499,1.1673,1.5392,1.0387,0.31425,1.7729,1.2204,1.3562,-0.1172,0.45143,0.3023,1.1055,1.4716,1.1357,0.44854,0.26333
19,1.4644,1.0993,1.0738,0.36742,0.98386,0.96682,1.2058,0.91164,1.404,1.6227,1.7144,1.0629,1.01,1.1742,1.4711,1.43,1.7325,1.3911,1.45,1.0339,1.6629,1.0794,1.3361,2.035,1.1408,1.3778,1.7189,1.4175,1.6808,1.0044,1.5587,0.92675,1.2157,0.89328
20,1.0546,1.0483,0.55168,2.3031,0.59677,0.58742,0.77873,0.58355,0.88812,1.5223,1.6355,0.66986,0.51139,0.7516,1.0965,0.81332,1.4099,0.90313,0.95248,0.51932,1.5392,0.61207,1.1171,1.5545,0.54432,0.83748,1.4845,1.0265,1.6808,0.57971,1.907,0.52788,0.66431,0.66975
21,0.58181,0.69107,0.42638,2.088,0.30184,0.36776,0.52753,0.52204,0.55984,1.3216,1.3593,0.31426,0.24291,0.46245,0.69066,0.50499,0.9259,0.62063,0.75348,0.30969,1.0857,0.24635,0.70351,1.4234,0.26595,0.36201,0.9376,0.77347,0.84645,0.27637,1.5587,0.29995,0.35264,0.46654
22,0.17205,-0.048906,-0.17925,1.7654,-0.12212,-0.071555,0.02512,-0.19566,0.067415,0.68589,0.84649,-0.26592,-0.21734,0.017608,0.066335,-0.0168,0.15964,-0.098445,0.057004,-0.10958,0.59094,-0.16,0.07096,0.63708,-0.27092,-0.048628,0.19533,0.083385,0.12092,-0.24941,1.1232,-0.26987,-0.10289,-0.12277
23,-0.26923,-0.38062,-0.6387,1.174,-0.56451,-0.51087,-0.67825,-0.60577,-0.49535,-0.050187,0.29422,-0.71509,-0.69677,-0.33826,-0.33948,-0.44372,-0.24366,-0.32958,-0.41561,-0.56697,-0.027485,-0.60699,-0.29398,0.025483,-0.68848,-0.78345,-0.2344,-0.33067,-0.27812,-0.57297,0.29576,-0.57378,-0.51047,-0.65112
